민원접수일,민원접수시간,주소,경도,위도,도로명주소
20231114,13:04:00,서울특별시 동대문구 한천로11길 55,127.059286,37.566913,답십리2동 동대문구 서울특별시
20240110,18:57:00,동대문구 회기로26길 12,127.054394107082,37.5902248503384,회기로26길 회기동 동대문구 서울특별시
20231116,14:18:00,서울 동대문구 제기동 1158-68,127.03353649277494,37.57842618481023,왕산로19다길 제기동 동대문구 서울특별시
20240118,07:13:00,서울특별시 동대문구 한빛로 61,127.02965505898692,37.57890475053888,한빛로 용두동 용신동 동대문구 서울특별시
20231209,09:23:00,왕산로30길 29 대명빌라(용두동 39-1) 뒷편 원형회차로 ,127.041166783354,37.5774097916797,102동 39-1 고산자로32길 용두동 용신동 동대문구 서울특별시
20240123,16:19:00,서울특별시 동대문구 청계천로 505,127.03265582388038,37.570855823995466,무학로16길 용두동 용신동 동대문구 서울특별시
20231209,16:16:00,서울 동대문구 제기동 1158-68,127.0326763,37.5793266,왕산로19마길 제기동 용신동 동대문구 서울특별시
20231216,12:23:00,서울특별시 동대문구 장한로27길 8,127.07099369444444,37.57327480555556,장한로27가길 장안2동 동대문구 서울특별시
20240203,17:32:00,서울특별시 동대문구 왕산로 77,127.031613,37.5783935,한빛로 용두동 용신동 동대문구 서울특별시
20231119,15:06:00,서울 동대문구 청량리동 821,127.04448435805249,37.58188013063211,홍릉로3길 제기동 청량리동 동대문구 서울특별시
20240226,12:22:00,서울 동대문구 장안동 346-1,127.07078603554386,37.56927363971965,장한로26가길 장안2동 동대문구 서울특별시
20231204,19:45:00,서울특별시 동대문구 망우로18길 81-1,127.0628518,37.586722,77 망우로18길 휘경동 휘경2동 동대문구 서울특별시
20240215,15:01:00,서울 동대문구 휘경동 312-264,127.055277402786,37.5871896271213,전농로38길 휘경2동 동대문구 서울특별시
20231229,09:53:00,서울특별시 동대문구 천호대로83길 78,127.066446,37.5654282,천호대로83길 장안동 장안1동 동대문구 서울특별시
20240302,17:22:00,서울특별시 동대문구 약령중앙로 15,127.0368502,37.5796237,약령중앙로 제기동 동대문구 서울특별시
20231223,22:09:00,서울특별시 동대문구 난계로26길 67-6,127.02713012695312,37.57160949707031,신설동 용신동 동대문구 서울특별시
20231121,10:34:00,동대문구 장안동 366-9 앞 ,127.070793348605,37.5697049417876,장한로22길 장안2동 동대문구 서울특별시
20231125,22:13:00,서울특별시 동대문구 장한로18길 29,127.0705139,37.5677492,29 장한로18길 장안2동 동대문구 서울특별시
20231120,21:44:00,서울특별시 동대문구 장한로14길 81,127.0728835,37.5648688,서울안평초등학교 61 장한로14길 장안동 장안1동 동대문구 서울특별시
20240310,10:56:00,서울특별시 동대문구 서울시립대로12길 28,127.05132619444444,37.57799838888889,답십리로29길 전농동 전농1동 동대문구 서울특별시
