"분류별(1)",2023.05,2023.06,2023.07,2023.08,2023.09,2023.10
"합계",4603,4525,5004,5086,4722,4642
"석탄",26,26,24,21,22,22
"가스",0,0,0,0,0,0
"석유",0,0,0,0,0,0
"원자력",3080,3018,3370,3381,3193,3224
"수력",64,68,145,90,97,61
"바이오 및 폐기물",711,715,832,809,758,675
"지열, 태양 및 기타",716,692,627,777,645,656
"열",6,6,6,7,6,5
